productsku,total_ordered,up_total_ordered
GGOEYAFB073116,2,0
GGOEGAAC035016,2,0
GGOEYAFB073115,2,0
GGOEGAAX0622,2,0
GGOEGAAJ080614,2,0
GGOEGAPB057813,2,0
GGOEGAAC035014,2,0
GGOEAAEJ030913,2,0
GGOEGAAX0578,2,0
GGOEGAAL010615,2,0
GGOEGALQ036613,2,0
GGOEGALJ036414,2,0
GGOEGAAX0661,2,0
GGOEGAEQ027913,2,0
GGOEGAAJ032317,2,0
GGOEAHPJ004213,2,0
GGOEAAEJ035713,2,0
GGOEGAEC033113,2,0
GGOEGAEA030415,2,0
GGOEAAAP081217,2,0
GGOEGAEJ031313,2,0
GGOEGAAX0366,2,0
GGOEGADJ056815,2,0
GGOEGAAB010517,2,0
GGOEGOAR013099,2,0
GGOEGOLC014299,2,0
GGOEYAAB031816,2,0
GGOEGAAX0626,2,0
GGOEADWQ015699,2,0
GGOEGALJ057912,2,0
GGOEAHPB076114,1,0
GGOEGAEJ028114,1,0
GGOEAHPB076113,1,0
GGOEGAXR065129,1,0
GGOEAAAB034914,1,0
GGOEGAAJ059114,1,0
GGOEGAAB010515,1,0
GGOEGAEJ030815,1,0
GGOEGALL074613,1,0
GGOEGATH060717,1,0
GGOEGAAX0569,1,0
GGOEGAAX0309,1,0
GGOEGAYR068225,1,0
GGOEGAEC033117,1,0
GGOEGAAJ080613,1,0
GGOEGAEJ030814,1,0
GGOEGATB060615,1,0
GGOEAAEH035214,1,0
GGOEGAAJ059113,1,0
GGOEGAEJ029915,1,0
GGOEWAEA083899,1,0
GGOEGALJ036413,1,0
GGOEGAAJ032714,1,0
GGOEGAEJ028113,1,0
GGOEGGCX056199,1,0
GGOEGAYQ069056,1,0
GGOEGAWR061850,1,0
GGOEGALB034116,1,0
GGOEAAWN062649,1,0
GGOEGAAR010716,1,0
GGOEGAAX0308,1,0
GGOEGAAX0107,1,0
GGOEGAAX0326,1,0
GGOEGAAX0297,1,0
GGOEGAAX0281,1,0
GGOEGAAX0579,1,0
GGOEAAEB028314,1,0
GGOEGALQ036614,1,0
GGOEGAAX0320,1,0
GGOEGAAX0610,1,0
GGOEGAEJ028016,1,0
GGOEGAAX0338,1,0
GGOEAAEH035216,1,0
GGOEGETR014599,1,0
GGOEGAEJ029913,1,0
GGOEGAAX0761,1,0
GGOEYAAB031813,1,0
GGOEGAAX0289,1,0
GGOEGATH060714,1,0
GGOEGAAX0733,1,0
GGOEGAAX0290,1,0
GGOEAXXX0812,1,0
GGOEWCKQ085457,1,0
GGOEGAAB033814,1,0
GGOEGHPB003410,1,0
GGOEGBPB081999,1,0
GGOEGAEB027813,1,0
GGOEGADB059614,1,0
GGOEGAAX0606,1,0
GGOEYAAB031814,1,0
GGOEAHPJ004314,1,0
GGOEGAEJ028115,1,0
GGOEAAWN062648,1,0
GGOEGAEJ031316,1,0
GGOEGALL074615,1,0
GGOEGAWQ062248,1,0
GGOEGAAX0596,1,0
GGOEWXXX0827,0,0
GGOEGCBB074399,0,0
9182605,0,0
9182569,0,0
9182722,0,0
9183223,0,0
GGOEGAAX0361,0,0
GGOEGACB023699,0,0
9184734,0,0
GGOEGAAX0296,0,0
GGOEGAAX0327,0,0
9183213,0,0
9182772,0,0
9180753,0,0
9183228,0,0
9182765,0,0
GGOEGBFC018799,0,0
GGOEGAAX0570,0,0
GGOEGAAX0042,0,0
9182751,0,0
GGOEGAAX0231,0,0
GGOEGAAX0348,0,0
GGOEGAAX0572,0,0
GGOEGBMC056599,0,0
9181573,0,0
GGOEGAAX0592,0,0
GGOEGHPJ080110,0,0
GGOEGAAX0605,0,0
9183221,0,0
GGOENEBQ081799,0,0
GGOEGAAX0304,0,0
9182755,0,0
GGOEGAAX0356,0,0
GGOEGAAX0355,0,0
GGOEGAAX0339,0,0
GGOEWXXX0828,0,0
9184720,0,0
GGOEGAAX0328,0,0
9182723,0,0
GGOEWFKA083299,0,0
9182383,0,0
GGOENEBQ081699,0,0
9180809,0,0
9183240,0,0
GGOEGHPL003214,0,0
9183226,0,0
GGOEGAAX0746,0,0
GGOEWXXX0835,0,0
9182559,0,0
GGOEAXXX0810,0,0
9182743,0,0
9180862,0,0
9182745,0,0
GGOEGAAX0340,0,0
GGOEAHPB080210,0,0
GGOEGAAX0603,0,0
GGOEGAAX0329,0,0
9182784,0,0
9180905,0,0
GGOEGAAX0686,0,0
GGOEGAAX0282,0,0
9183118,0,0
9180833,0,0
9184737,0,0
GGOEGAAX0168,0,0
9182502,0,0
GGOEGBCR024399,0,0
9180769,0,0
9183219,0,0
GGOEGAAX0590,0,0
GGOEGGCX056399,0,0
GGOEGESB015199,0,0
GGOEGGCX056499,0,0
GGOEGAAX0588,0,0
9182778,0,0
GGOEGAAX0580,0,0
GGOEWXXX0834,0,0
GGOEGDHB072099,0,0
9184675,0,0
9180766,0,0
9181137,0,0
GGOEGAAX0593,0,0
9183239,0,0
9180748,0,0
9180814,0,0
9182739,0,0
GGOEGOAJ021599,0,0
9180757,0,0
GGOEGAAX0306,0,0
GGOEGAAX0567,0,0
GGOEGEHQ072499,0,0
GGOEGAAX0595,0,0
9181019,0,0
GGOEGAAX0607,0,0
9183222,0,0
GGOEGAAX0683,0,0
GGOEAHPA004110,0,0
GGOEAHPJ074410,0,0
9180781,0,0
9183241,0,0
9184677,0,0
GGOEGEVB070599,0,0
9182781,0,0
9182721,0,0
9180824,0,0
GGOEGAAX0582,0,0
9183203,0,0
9180793,0,0
9184676,0,0
9183186,0,0
9182980,0,0
9184663,0,0
GGOEGEHQ072599,0,0
9183234,0,0
9183230,0,0
GGOEGAAX0349,0,0
GGOENEBQ081599,0,0
GGOEGOAA017199,0,0
GGOEGBPB082099,0,0
9182763,0,0
9182779,0,0
GGOEGAAX0353,0,0
9182780,0,0
9182173,0,0
GGOEGAAX0350,0,0
9181150,0,0
GGOEGDHR082199,0,0
9182709,0,0
9182737,0,0
9183229,0,0
9184733,0,0
9180782,0,0
GGOEGAAX0598,0,0
9182714,0,0
GGOEWFKA083099,0,0
9182752,0,0
9180850,0,0
9182726,0,0
9182182,0,0
GGOEGAAX0732,0,0
9180808,0,0
GGOEGAAX0323,0,0
GGOEGAAX0331,0,0
9182771,0,0
9182785,0,0
GGOEGAAX0604,0,0
GGOEGAAX0581,0,0
GGOEAOBH078799,0,0
GGOEGAAX0575,0,0
GGOEGAAX0365,0,0
GGOEGCVB072399,0,0
GGOEGOAR013599,0,0
GGOEGAAX0324,0,0
9181139,0,0
9184620,0,0
9182742,0,0
