fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productrefundamount,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,itemquantity,itemrevenue,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,ts_timeonsite
1.180075642511228e+18,Organic Search,0,Greece,"",,,90,2,,2016-08-08,1470689632,PAGE,,,24,,GGOEGAAX0316,Android Men's 3/4 Sleeve Raglan Henley Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,,1969-12-31 19:01:30
4.275026972904176e+18,Organic Search,30514,Taiwan,"",,,31,3,,2017-04-25,1493113777,PAGE,,,76,,GGOEGEVB070699,Google Bluetooth Speaker-Power Bank,Home/Electronics/Audio/,(not set),USD,,,,,Audio | Electronics | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:31
1.1265761352102029e+18,Direct,176313,Taiwan,"",,,180,8,,2017-02-09,1486712471,PAGE,,,9,,GGOEGBJC014399,Google Tote Bag,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:03:00
2.00879799683394e+18,Direct,115628,San Marino,"",,,309,19,,2016-11-03,1478198805,PAGE,,,4,,GGOEGCBB074399,Google Device Holder Sticky Pad,Home/Electronics/Electronics Accessories/,(not set),USD,,,,,Accessories | Electronics | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:05:09
8.622802632417333e+18,Organic Search,0,Singapore,"",,,,1,1,2017-07-11,1499760666,PAGE,,,19,,GGOEAXXX0808,Android Men's Engineer Short Sleeve Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
7.2445158089082e+18,Organic Search,82348,United States,"",,,96,5,,2016-08-24,1472022359,PAGE,,,39,,GGOEGAAX0310,Google Heavyweight Long Sleeve Hero Tee Burgundy,Home/Apparel/Men's/,(not set),USD,,,,,Men's,,/google+redesign/,0,1,,1969-12-31 19:01:36
2.6785273940949996e+18,Organic Search,0,Trinidad & Tobago,"",,,,1,,2017-06-04,1496597449,PAGE,,,10,,GGOEYHPB072210,YouTube Twill Cap,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,
7.932162052885071e+18,Referral,14046,Singapore,"",,,49,5,,2016-11-29,1480483062,PAGE,,,98,,GGOEGAAX0606,Google Women's Convertible Vest-Jacket Black,Home/Apparel/Women's/Women's-Performance Wear/,(not set),USD,,,,,Women's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:49
8.4359602892898e+17,Direct,74116,Nepal,"",,,247,4,,2016-09-08,1473348756,PAGE,,,69,,GGOEGBRJ037399,Google Rucksack,Home/Bags/,(not set),USD,,,,,Bags,,/google+redesign/,0,1,,1969-12-31 19:04:07
1.9858533995965512e+18,Direct,253749,Taiwan,"",,,286,10,,2017-02-09,1486712423,PAGE,,,19,,GGOEGBMB073799,Google Zipper-front Sports Bag,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:04:46
5.732361076744319e+18,Organic Search,0,Taiwan,"",,,,1,,2016-08-18,1471586534,PAGE,,,21,,GGOEGAAX0589,Google Men's Short Sleeve Performance Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,,
4.5950633502416753e+18,Organic Search,0,India,"",,,174,3,,2017-03-29,1490786934,PAGE,,,24,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:54
